"UniqueID","Probability1"
6533,0.056
6534,0.286
6535,0.902
6536,0.364
6537,0.094
6538,0.878
6539,0.894
6540,0.048
6541,0.066
6542,0.004
6543,0.004
6544,0.722
6545,0
6546,0.058
6547,0
6548,0.886
6549,0.914
6550,0.228
6551,0.458
6552,0.016
6553,0.08
6554,0.188
6555,0.982
6556,0.002
6557,0
6558,0.228
6559,0
6560,0.93
6561,0.698
6562,0.02
6563,0.014
6564,0
6565,0
6566,0.102
6567,0.094
6568,0.824
6569,0.83
6570,0.002
6571,0.108
6572,0.732
6573,0.536
6574,0.996
6575,0.03
6576,0.824
6577,0
6578,0.002
6579,0.008
6580,0
6581,0.872
6582,0
6583,0
6584,0.348
6585,0.01
6586,0.176
6587,0.448
6588,0.002
6589,0
6590,0.138
6591,0.618
6592,0
6593,0
6594,0.008
6595,0
6596,0.006
6597,0.016
6598,0
6599,0
6600,0.71
6601,0.258
6602,0
6603,0.004
6604,0.01
6605,0.148
6606,0.898
6607,0
6608,0.746
6609,0.136
6610,0
6611,0.052
6612,0.298
6613,0
6614,0.036
6615,0
6616,0.078
6617,0.17
6618,0.136
6619,0.168
6620,0
6621,0
6622,0.06
6623,0
6624,0.174
6625,0.004
6626,0
6627,0.002
6628,0
6629,0.092
6630,0
6631,0.144
6632,0.272
6633,0.878
6634,0.01
6635,0.34
6636,0.32
6637,0.342
6638,0.332
6639,0.386
6640,0.246
6641,0.294
6642,0.258
6643,0.316
6644,0.31
6645,0.024
6646,0.452
6647,0.038
6648,0.116
6649,0.34
6650,0.876
6651,0
6652,0.004
6653,0.032
6654,0
6655,0.408
6656,0.13
6657,0.002
6658,0.024
6659,0.026
6660,0.452
6661,0
6662,0
6663,0
6664,0.262
6665,0.01
6666,0.178
6667,0.042
6668,0.014
6669,0.004
6670,0.756
6671,0.94
6672,0.004
6673,0.118
6674,0.034
6675,0.022
6676,0
6677,0.004
6678,0.034
6679,0.002
6680,0.88
6681,0.002
6682,0.016
6683,0.224
6684,0.366
6685,0
6686,0.016
6687,0.016
6688,0.96
6689,0.002
6690,0.044
6691,0.204
6692,0.158
6693,0
