"NewsDesk.nb" "NewsDesk" "SectionName.nb" "SectionName" "SubsectionName.nb" "SubsectionName" "Headline.pfx" "Popular.fctr" ".n"
".*Fashion Week::" "" ".*Fashion Week::" "" ".*Fashion Week::.*Fashion Week::" "" ".*Fashion Week::" "N" 1
"19[0-9][0-9]::" "" "19[0-9][0-9]::" "" "19[0-9][0-9]::19[0-9][0-9]::" "" "19[0-9][0-9]::" "N" 9
"19[0-9][0-9]::" "" "19[0-9][0-9]::" "" "19[0-9][0-9]::19[0-9][0-9]::" "" "19[0-9][0-9]::" NA 4
"6 Q's About the News::" "" "U.S." "U.S." "Education" "Education" "6 Q's About the News::" "N" 61
"6 Q's About the News::" "" "U.S." "U.S." "Education" "Education" "6 Q's About the News::" NA 15
"Business" "Business" "Business" "" "Business::Business" "" "myMisc::" "N" 4
"Business" "Business" "Business" "" "Business::Business" "" "myMisc::" "Y" 1
"Business" "Business" "Business" "" "Business::Business" "" "Today in (Politics|Small Business)::" NA 1
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "Morning Agenda::" "N" 62
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "Morning Agenda::" NA 16
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" "N" 802
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" "Y" 88
"Business" "Business" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" NA 275
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "N" 76
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "Y" 5
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" NA 24
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "Today in (Politics|Small Business)::" "N" 58
"Business" "Business" "Business Day" "Business Day" "Small Business" "Small Business" "Today in (Politics|Small Business)::" NA 13
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "N" 19
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" "Y" 103
"Business" "Business" "Crosswords/Games" "Crosswords/Games" "Business::Crosswords/Games" "" "myMisc::" NA 38
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "Daily (Clip )*Report::" "N" 60
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "Daily (Clip )*Report::" NA 18
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" "N" 220
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" "Y" 50
"Business" "Business" "Technology" "Technology" "Business::Technology" "" "myMisc::" NA 93
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" ".*Fashion Week::" NA 1
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" "N" 625
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" "Y" 50
"Culture" "Culture" "Arts" "Arts" "Culture::Arts" "" "myMisc::" NA 162
"Culture" "Culture" "Culture" "" "Culture::Culture" "" "myMisc::" "N" 1
"Culture" "Culture" "Culture" "" "Culture::Culture" "" "myMisc::" NA 70
"Daily (Clip )*Report::" "" "Daily (Clip )*Report::" "" "Daily (Clip )*Report::Daily (Clip )*Report::" "" "Daily (Clip )*Report::" "N" 62
"Daily (Clip )*Report::" "" "Daily (Clip )*Report::" "" "Daily (Clip )*Report::Daily (Clip )*Report::" "" "Daily (Clip )*Report::" NA 22
"First Draft::" "" "First Draft::" "" "First Draft::First Draft::" "" "First Draft::" "N" 58
"First Draft::" "" "First Draft::" "" "First Draft::First Draft::" "" "First Draft::" NA 14
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "19[0-9][0-9]::" "N" 141
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "19[0-9][0-9]::" NA 39
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "myMisc::" "N" 22
"Foreign" "Foreign" "Foreign" "" "Foreign::Foreign" "" "myMisc::" NA 7
