"UniqueID","Probability1"
6533,0.086
6534,0.302
6535,0.898
6536,0.41
6537,0.164
6538,0.772
6539,0.868
6540,0.01
6541,0.19
6542,0.002
6543,0
6544,0.62
6545,0.006
6546,0.162
6547,0.002
6548,0.77
6549,0.736
6550,0.18
6551,0.512
6552,0.03
6553,0.134
6554,0.174
6555,0.798
6556,0.002
6557,0
6558,0.3
6559,0.002
6560,0.706
6561,0.522
6562,0.01
6563,0.002
6564,0.02
6565,0
6566,0.154
6567,0.194
6568,0.77
6569,0.77
6570,0.032
6571,0.144
6572,0.692
6573,0.392
6574,0.836
6575,0.022
6576,0.62
6577,0
6578,0.002
6579,0.022
6580,0.002
6581,0.67
6582,0.044
6583,0.006
6584,0.406
6585,0.042
6586,0.196
6587,0.482
6588,0.002
6589,0
6590,0.366
6591,0.708
6592,0.004
6593,0.012
6594,0.022
6595,0
6596,0.004
6597,0.014
6598,0.006
6599,0
6600,0.59
6601,0.274
6602,0.002
6603,0.004
6604,0.032
6605,0.286
6606,0.744
6607,0.014
6608,0.504
6609,0.208
6610,0
6611,0.052
6612,0.228
6613,0
6614,0.032
6615,0.002
6616,0.096
6617,0.184
6618,0.226
6619,0.196
6620,0.006
6621,0.008
6622,0.102
6623,0
6624,0.188
6625,0.034
6626,0.002
6627,0.016
6628,0.01
6629,0.136
6630,0.002
6631,0.13
6632,0.416
6633,0.898
6634,0.13
6635,0.418
6636,0.466
6637,0.464
6638,0.47
6639,0.318
6640,0.292
6641,0.334
6642,0.374
6643,0.422
6644,0.392
6645,0.106
6646,0.516
6647,0.09
6648,0.176
6649,0.318
6650,0.762
6651,0.026
6652,0.004
6653,0.102
6654,0.002
6655,0.264
6656,0.066
6657,0.016
6658,0.046
6659,0.046
6660,0.474
6661,0.006
6662,0
6663,0
6664,0.334
6665,0.038
6666,0.254
6667,0.016
6668,0.024
6669,0.018
6670,0.704
6671,0.818
6672,0.002
6673,0.296
6674,0.032
6675,0
6676,0.016
6677,0.006
6678,0.066
6679,0
6680,0.782
6681,0.018
